index,inventory_id,set_num,quantity,index_inventories,id,version,set_num_inventories,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id,index_sets,name_sets,year_sets,theme_id_sets,num_parts_sets,index_themes_sets,id_sets,name_themes_sets,parent_id_sets
108,525,7151-1,1,364,525,1,VP-12,11651,Star Wars Co-Pack of 7121 and 7151,2000,166,2,157,166,Star Wars Episode 1,158.0,7720,Sith Infiltrator,1999,166,244,157,166,Star Wars Episode 1,158.0
109,528,6604-1,1,366,528,1,1997-1,1331,Town Value Pack,1985,67,3,63,67,Classic Town,50.0,6441,Formula-I Racer,1985,82,31,78,82,Race,67.0
110,528,6622-1,1,366,528,1,1997-1,1331,Town Value Pack,1985,67,3,63,67,Classic Town,50.0,6474,Mailman on Motorcycle,1984,81,30,77,81,Post Office,67.0
111,528,6633-1,1,366,528,1,1997-1,1331,Town Value Pack,1985,67,3,63,67,Classic Town,50.0,6514,Family Car,1985,85,46,81,85,Traffic,67.0
112,561,4515-1,1,390,561,1,K4516-1,11249,Oval Track Kit,1992,244,3,231,244,9V,241.0,4114,Straight Rails,1991,244,8,231,244,9V,241.0
113,561,4520-1,2,390,561,1,K4516-1,11249,Oval Track Kit,1992,244,3,231,244,9V,241.0,4117,Curved Rails,1991,244,8,231,244,9V,241.0
114,580,3402-1,2,402,580,1,K3409-1,11227,Ultimate Soccer Stadium Kit,2000,462,6,392,462,Soccer,458.0,2505,Grandstand with Lights,2000,462,60,392,462,Soccer,458.0
115,580,3403-1,1,402,580,1,K3409-1,11227,Ultimate Soccer Stadium Kit,2000,462,6,392,462,Soccer,458.0,2507,Fans' Grandstand with Scoreboard,2000,462,80,392,462,Soccer,458.0
116,580,3406-1,1,402,580,1,K3409-1,11227,Ultimate Soccer Stadium Kit,2000,462,6,392,462,Soccer,458.0,2510,Americas Bus,2000,462,130,392,462,Soccer,458.0
117,580,3408-1,1,402,580,1,K3409-1,11227,Ultimate Soccer Stadium Kit,2000,462,6,392,462,Soccer,458.0,2512,Super Sports Coverage,2000,462,224,392,462,Soccer,458.0
